Epoch,Loss,Accuracy,Recall
0,61.745460255940756,0.4864583333333333,0.45621181262729127
1,56.57321030298869,0.5083333333333333,0.5021008403361344
2,52.780823119481404,0.5130208333333334,0.49377593360995853
3,47.41627532391509,0.5348958333333333,0.5261506276150628
4,46.63895271619161,0.5255208333333333,0.5524974515800204
5,43.37884864807129,0.559375,0.5740740740740741
6,42.149886178970334,0.5442708333333334,0.5726405090137858
7,40.632960112889606,0.571875,0.6029258098223615
8,40.07027128537496,0.5625,0.6103092783505155
9,38.91073808670044,0.5833333333333334,0.6728016359918201
10,37.1674712787975,0.5739583333333333,0.6442211055276382
11,37.26772853533427,0.6041666666666666,0.6690573770491803
12,36.34750883919852,0.5963541666666666,0.6751012145748988
13,34.249990967679615,0.6,0.6776180698151951
14,34.1430283380934,0.6182291666666667,0.698477157360406
15,33.21733806927999,0.630926724137931,0.7300420168067226
16,33.842766399225916,0.6458333333333334,0.7824267782426778
17,32.24978151321411,0.6572916666666667,0.7834941050375134
18,30.372593454092986,0.6567708333333333,0.756319514661274
19,32.54669436613719,0.6651041666666667,0.7890547263681592
20,31.202550371487934,0.6536458333333334,0.7853347502656748
21,31.25107956720778,0.6661458333333333,0.8002092050209205
22,30.890580646197,0.6572916666666667,0.8092243186582809
23,30.227047824859618,0.671875,0.8203285420944558
24,28.506199009162334,0.6875,0.8440463645943098
25,30.32995120684306,0.6984375,0.8556593977154725
26,29.47887298489405,0.6973958333333333,0.8498920086393088
27,29.569061628977458,0.6859375,0.865625
28,28.931192437479318,0.6661458333333333,0.8343949044585988
29,28.514957711716328,0.6765625,0.8622129436325678
30,27.859182755152386,0.6921875,0.8502155172413793
31,28.206407221158347,0.7015625,0.8707342295760083
32,27.925546129544575,0.7182291666666667,0.8846549948506695
33,28.163649360338848,0.7109375,0.8931216931216931
34,26.896878841494726,0.7151041666666667,0.8764643237486688
35,27.089714712347867,0.7106681034482759,0.8969298245614035
36,25.90643963019053,0.7130208333333333,0.9049586776859504
37,26.818599462509155,0.7109375,0.8940677966101694
38,26.728226391474404,0.7328125,0.9149623250807319
39,26.45472501329154,0.70625,0.9003083247687564
40,25.305329102129974,0.7316810344827587,0.937365010799136
41,25.525502808888753,0.7192708333333333,0.9045120671563484
42,25.771284796974875,0.7052083333333333,0.9028213166144201
43,25.17717584768931,0.7239583333333334,0.9085239085239085
44,25.87689435482025,0.7265625,0.9249743062692704
45,25.286004503568012,0.7229166666666667,0.9188034188034188
46,24.501680286725364,0.7255208333333333,0.928194297782471
47,24.285426092147826,0.7166666666666667,0.9268041237113402
48,25.30049737031795,0.7171875,0.9256465517241379
49,24.249381788571675,0.7213541666666666,0.9344790547798066
50,24.48859040737152,0.7322916666666667,0.9140708915145005
51,23.120928630355962,0.7166666666666667,0.9309967141292442
52,24.26980973879496,0.740625,0.9364754098360656
53,23.43112995210758,0.7265625,0.9191709844559586
54,23.66891295115153,0.7395833333333334,0.9303991811668373
55,23.751582678159078,0.7380208333333333,0.9442658092175777
56,23.234407571951547,0.7401041666666667,0.930161943319838
57,22.159264674856644,0.7208333333333333,0.9256619144602851
58,23.397529864311217,0.7296875,0.9369918699186992
59,22.73581355412801,0.7338541666666667,0.9403765690376569
60,22.774054952889436,0.7139008620689655,0.9219934994582882
61,22.627857389528888,0.7348958333333333,0.9466811751904244
62,22.387310753183918,0.7317708333333334,0.9380710659898477
63,22.889053773880004,0.7447916666666666,0.950259067357513
64,21.92627385457357,0.7583333333333333,0.9527162977867203
65,21.89415762247133,0.7307291666666667,0.9351464435146444
66,21.349285364151,0.7369791666666666,0.946178686759957
67,21.02793345569579,0.7265625,0.9395248380129589
68,21.488690114021303,0.74375,0.9477386934673366
69,22.20748137633006,0.7338362068965517,0.9372340425531915
70,21.696320954958598,0.7390625,0.9447236180904522
71,20.322906653086346,0.7364583333333333,0.9309989701338826
72,21.39644828512649,0.7463541666666667,0.9558974358974359
73,19.73323877652486,0.7380208333333333,0.9523809523809523
74,20.60747168858846,0.7421875,0.957688338493292
75,20.45376875400543,0.7322916666666667,0.948170731707317
76,19.826982119851863,0.7408405172413793,0.9606801275239107
77,19.387460172668963,0.7546875,0.9575569358178054
78,19.58965153733561,0.753125,0.9582909460834181
79,19.03318588733673,0.7300646551724138,0.9506437768240343
80,19.531631406148275,0.7526939655172413,0.9596602972399151
81,19.50561470190684,0.7380208333333333,0.9597457627118644
82,18.775360651810963,0.725,0.9432404540763674
83,19.35994259385038,0.7510416666666667,0.9584631360332295
84,19.07408644148141,0.7536458333333333,0.9541666666666667
85,19.884564407600845,0.7317708333333334,0.9552715654952076
86,19.080093025175994,0.7484375,0.9556898288016112
87,17.53060784737269,0.7359375,0.9350515463917526
88,17.967577489217124,0.7390625,0.9624608967674662
89,17.892197664578756,0.7557291666666667,0.9529652351738241
90,17.694108210319328,0.7510416666666667,0.95097037793667
91,17.81304312547048,0.7380208333333333,0.9674267100977199
92,18.100578769048056,0.75,0.9533678756476683
93,17.75366345246633,0.75625,0.956386292834891
94,17.333446471159125,0.7572916666666667,0.9590583418628454
95,17.35329248885478,0.75625,0.955193482688391
96,17.163805290063223,0.7458333333333333,0.9569327731092437
97,17.67861803372701,0.7619791666666667,0.9558232931726908
98,17.3834081808726,0.7432291666666667,0.9624608967674662
99,17.355256230377954,0.7734375,0.9653061224489796
